[0.059843,0.162664,0.140374],
[3.148727,0.563231,0.470388],
[6.732605,0.404802,1.004818],
[5.034925,0.656611,0.669673],
[5.272328,2.239552,2.252362],
[6.473511,3.931263,3.808644],
[3.128724,0.633189,0.685733],
[3.152018,0.482778,0.433736],
[5.897501,2.672888,2.70512],
[13.594944,4.063634,3.897423],
[9.21254,1.547822,1.566892],
[9.347565,1.829211,1.852122],
[6.33956,2.910324,2.957453],
[12.359564,3.607029,3.481648],
[6.657161,3.544702,3.470191],
[5.356698,2.422867,2.406365],
[12.846069,6.451807,6.536292],
[12.648833,6.332159,2.21432],
[18.397965,11.181063,11.30718],
[4.3146,0.415743,0.383533],
[24.031448,6.736471,6.76135],
[30.848713,8.906115,0.856585],
[56.120186,17.049336,17.077808],
[116.003436,84.626922,84.384854],
[13.186752,2.874756,2.845174],
[6.044078,2.239127,2.264012],
[13.186912,2.884457,2.883567],
[26.926486,7.156224,7.183304],
[22.964421,15.978144,16.102947],
[3.432935,0.612371,0.611429],
[15.294111,4.259675,4.36426],
[25.686938,4.439314,0.657251],
[21.549406,10.36087,10.11945],
[25.061596,10.84247,10.697158],
[25.150158,11.029951,10.764596],
[5.061588,2.713641,2.750384],
[0.051314,0.030315,0.024209],
[0.023383,0.021939,0.01692],
[0.035486,0.02946,0.017068],
[0.021938,0.036345,0.082503],
[0.056541,0.081315,0.095248],
[0.056486,0.055195,0.139469],
[0.039902,0.063839,0.042551],
