page cache dropped before each query (6 tries: 1 cold + 5 hot)
starting StarRocks 4.1.4 from image starrocks/allin1-ubuntu:4.1.4
StarRocks up (4.1.4-4a9848e); result cache off; BE: datacache_enable=false disable_storage_page_cache=true 
=== CREATE tpcds tables ===
=== LOAD tpcds.call_center ===
=== LOAD tpcds.catalog_page ===
=== LOAD tpcds.catalog_returns ===
=== LOAD tpcds.catalog_sales ===
=== LOAD tpcds.customer_address ===
=== LOAD tpcds.customer_demographics ===
=== LOAD tpcds.customer ===
=== LOAD tpcds.date_dim ===
=== LOAD tpcds.household_demographics ===
=== LOAD tpcds.income_band ===
=== LOAD tpcds.inventory ===
=== LOAD tpcds.item ===
=== LOAD tpcds.promotion ===
=== LOAD tpcds.reason ===
=== LOAD tpcds.ship_mode ===
=== LOAD tpcds.store_returns ===
=== LOAD tpcds.store_sales ===
=== LOAD tpcds.store ===
=== LOAD tpcds.time_dim ===
=== LOAD tpcds.warehouse ===
=== LOAD tpcds.web_page ===
=== LOAD tpcds.web_returns ===
=== LOAD tpcds.web_sales ===
=== LOAD tpcds.web_site ===
=== ANALYZE tpcds.call_center ===
=== ANALYZE tpcds.catalog_page ===
=== ANALYZE tpcds.catalog_returns ===
=== ANALYZE tpcds.catalog_sales ===
=== ANALYZE tpcds.customer_address ===
=== ANALYZE tpcds.customer_demographics ===
=== ANALYZE tpcds.customer ===
=== ANALYZE tpcds.date_dim ===
=== ANALYZE tpcds.household_demographics ===
=== ANALYZE tpcds.income_band ===
=== ANALYZE tpcds.inventory ===
=== ANALYZE tpcds.item ===
=== ANALYZE tpcds.promotion ===
=== ANALYZE tpcds.reason ===
=== ANALYZE tpcds.ship_mode ===
=== ANALYZE tpcds.store_returns ===
=== ANALYZE tpcds.store_sales ===
=== ANALYZE tpcds.store ===
=== ANALYZE tpcds.time_dim ===
=== ANALYZE tpcds.warehouse ===
=== ANALYZE tpcds.web_page ===
=== ANALYZE tpcds.web_returns ===
=== ANALYZE tpcds.web_sales ===
=== ANALYZE tpcds.web_site ===
statistics on tpcds: 246s
loaded tpcds in 713s
benchmarking StarRocks 4.1.4 (reports 4.1.4-4a9848e)
=== tpch: not fully loaded; skipping its queries, load time and size ===
=== job: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: [1.426, 0.269, 0.290, 0.279, 0.259, 0.272]
q24 [tpcds]: [6.044, 0.281, 0.277, 0.258, 0.264, 0.244]
q25 [tpcds]: [1.823, 0.060, 0.057, 0.058, 0.061, 0.057]
q26 [tpcds]: [57.074, 2.869, 2.676, 2.632, 2.645, 2.715]
q27 [tpcds]: [30.448, 0.598, 0.520, 0.511, 0.506, 0.511]
q28 [tpcds]: [9.683, 0.351, 0.331, 0.295, 0.297, 0.292]
q29 [tpcds]: [28.079, 0.508, 0.519, 0.517, 0.529, 0.509]
q30 [tpcds]: [11.998, 0.352, 0.319, 0.285, 0.285, 0.283]
q31 [tpcds]: [10.426, 1.934, 1.907, 1.888, 1.895, 1.882]
q32 [tpcds]: [14.043, 1.915, 0.444, 0.429, 0.421, 0.416]
q33 [tpcds]: [26.109, 1.805, 1.640, 1.649, 1.606, 1.639]
q34 [tpcds]: [1.957, 0.141, 0.126, 0.129, 0.127, 0.122]
q35 [tpcds]: [43.629, 4.122, 0.667, 0.663, 0.638, 0.637]
q36 [tpcds]: [10.536, 2.246, 2.109, 2.070, 2.140, 2.107]
q37 [tpcds]: [10.574, 2.240, 2.195, 2.157, 2.128, 2.121]
q38 [tpcds]: [2.544, 0.197, 0.186, 0.170, 0.181, 0.164]
q39 [tpcds]: [12.120, 0.426, 0.361, 0.327, 0.319, 0.333]
q40 [tpcds]: [28.872, 0.898, 0.883, 0.791, 0.789, 0.778]
q41 [tpcds]: [17.837, 0.522, 0.507, 0.483, 0.482, 0.477]
q42 [tpcds]: [18.133, 0.369, 0.330, 0.334, 0.324, 0.327]
q43 [tpcds]: [1.260, 0.148, 0.130, 0.134, 0.122, 0.122]
q44 [tpcds]: [0.942, 0.123, 0.110, 0.096, 0.092, 0.092]
q45 [tpcds]: [1.938, 1.369, 1.336, 1.343, 1.345, 1.338]
q46 [tpcds]: [23.294, 6.123, 7.313, 5.755, 5.876, 5.962]
q47 [tpcds]: [20.449, 6.622, 7.530, 5.878, 6.005, 6.044]
q48 [tpcds]: [22.139, 0.528, 0.517, 0.483, 0.498, 0.491]
q49 [tpcds]: [22.166, 0.530, 0.500, 0.473, 0.472, 0.456]
q50 [tpcds]: [34.303, 0.670, 0.645, 0.637, 0.589, 0.599]
q51 [tpcds]: [13.047, 0.325, 0.321, 0.319, 0.302, 0.301]
q52 [tpcds]: [27.814, 0.520, 0.522, 0.504, 0.506, 0.479]
q53 [tpcds]: [14.632, 1.376, 1.315, 1.292, 1.282, 1.285]
q54 [tpcds]: [28.895, 0.911, 0.848, 0.776, 0.768, 0.757]
q55 [tpcds]: [0.901, 0.234, 0.320, 0.299, 0.294, 0.290]
q56 [tpcds]: [18.751, 0.822, 0.667, 0.619, 0.614, 0.615]
q57 [tpcds]: [1.846, 0.141, 0.128, 0.126, 0.107, 0.105]
q58 [tpcds]: [21.991, 0.463, 0.443, 0.454, 0.464, 0.422]
q59 [tpcds]: [22.547, 0.488, 0.488, 0.455, 0.454, 0.450]
q60 [tpcds]: [15.689, 0.595, 0.547, 0.534, 0.514, 0.514]
q61 [tpcds]: [18.311, 0.422, 0.413, 0.394, 0.401, 0.396]
q62 [tpcds]: [0.680, 0.154, 0.135, 0.128, 0.130, 0.123]
q63 [tpcds]: [16.084, 0.937, 0.847, 0.840, 0.824, 0.833]
