[0.089283,0.085227,0.056908],
[6.462622,0.119138,0.038947],
[10.367681,0.121577,0.068723],
[8.336257,0.145469,0.197462],
[8.349521,0.132076,0.091391],
[9.178133,0.171213,0.134665],
[6.187076,0.110292,0.058369],
[6.454823,0.066141,0.092703],
[9.057229,0.15579,0.110341],
[18.117743,0.202172,0.149111],
[13.532241,0.171737,0.099214],
[13.770584,0.228361,0.088879],
[9.068185,0.151889,0.149824],
[16.675524,0.237302,0.198608],
[9.064278,0.194775,0.134064],
[8.29152,0.164027,0.163135],
[16.60348,0.256961,0.208454],
[16.315262,0.300289,0.202808],
[21.854225,0.378082,0.330043],
[6.288758,0.160972,0.099336],
[26.567622,0.500553,0.417805],
[34.127698,0.542914,0.497363],
[58.899529,0.911295,0.795608],
[112.493884,2.898339,2.4515],
[17.554711,0.360378,0.217671],
[8.794605,0.1668,0.104769],
[18.080815,0.205598,0.131358],
[29.565947,0.644293,0.534157],
[23.126676,0.588055,0.621218],
[6.082632,0.280672,0.17878],
[19.550942,0.228663,0.151307],
[30.333442,0.294862,0.175669],
[25.039375,0.411381,0.32421],
[26.381503,0.603127,0.547455],
[26.382774,0.714164,0.581087],
[7.358347,0.37295,0.116444],
[0.094299,0.090255,0.072739],
[0.062318,0.050861,0.082478],
[0.484961,0.033505,0.065616],
[0.070775,0.051666,0.059196],
[0.578127,0.065646,0.09461],
[0.750614,0.065703,0.089976],
[0.110351,0.053694,0.05331],
