page cache dropped before each query (6 tries: 1 cold + 5 hot)
starting CedarDB v2026-08-20 (cedardb/cedardb:v2026-08-20)
CedarDB up (PostgreSQL 16.3 compatible CedarDB v2026-08-20, compiled on 2026-08-20, x86_64 build)
=== CREATE tpcds tables ===
=== tpcds: INSERT INTO tpcds.call_center SELECT * FROM '/data/parquet/tpcds/call_center.parquet'; ===
=== tpcds: INSERT INTO tpcds.catalog_page SELECT * FROM '/data/parquet/tpcds/catalog_page.parquet'; ===
=== tpcds: INSERT INTO tpcds.catalog_returns SELECT * FROM '/data/parquet/tpcds/catalog_returns.parquet'; ===
=== tpcds: INSERT INTO tpcds.catalog_sales SELECT * FROM '/data/parquet/tpcds/catalog_sales.parquet'; ===
=== tpcds: INSERT INTO tpcds.customer_address SELECT * FROM '/data/parquet/tpcds/customer_address.parquet'; ===
=== tpcds: INSERT INTO tpcds.customer_demographics SELECT * FROM '/data/parquet/tpcds/customer_demographics.parquet'; ===
=== tpcds: INSERT INTO tpcds.customer SELECT * FROM '/data/parquet/tpcds/customer.parquet'; ===
=== tpcds: INSERT INTO tpcds.date_dim SELECT * FROM '/data/parquet/tpcds/date_dim.parquet'; ===
=== tpcds: INSERT INTO tpcds.household_demographics SELECT * FROM '/data/parquet/tpcds/household_demographics.parquet'; ===
=== tpcds: INSERT INTO tpcds.income_band SELECT * FROM '/data/parquet/tpcds/income_band.parquet'; ===
=== tpcds: INSERT INTO tpcds.inventory SELECT * FROM '/data/parquet/tpcds/inventory.parquet'; ===
=== tpcds: INSERT INTO tpcds.item SELECT * FROM '/data/parquet/tpcds/item.parquet'; ===
=== tpcds: INSERT INTO tpcds.promotion SELECT * FROM '/data/parquet/tpcds/promotion.parquet'; ===
=== tpcds: INSERT INTO tpcds.reason SELECT * FROM '/data/parquet/tpcds/reason.parquet'; ===
=== tpcds: INSERT INTO tpcds.ship_mode SELECT * FROM '/data/parquet/tpcds/ship_mode.parquet'; ===
=== tpcds: INSERT INTO tpcds.store_returns SELECT * FROM '/data/parquet/tpcds/store_returns.parquet'; ===
=== tpcds: INSERT INTO tpcds.store_sales SELECT * FROM '/data/parquet/tpcds/store_sales.parquet'; ===
=== tpcds: INSERT INTO tpcds.store SELECT * FROM '/data/parquet/tpcds/store.parquet'; ===
=== tpcds: INSERT INTO tpcds.time_dim SELECT * FROM '/data/parquet/tpcds/time_dim.parquet'; ===
=== tpcds: INSERT INTO tpcds.warehouse SELECT * FROM '/data/parquet/tpcds/warehouse.parquet'; ===
=== tpcds: INSERT INTO tpcds.web_page SELECT * FROM '/data/parquet/tpcds/web_page.parquet'; ===
=== tpcds: INSERT INTO tpcds.web_returns SELECT * FROM '/data/parquet/tpcds/web_returns.parquet'; ===
=== tpcds: INSERT INTO tpcds.web_sales SELECT * FROM '/data/parquet/tpcds/web_sales.parquet'; ===
=== tpcds: INSERT INTO tpcds.web_site SELECT * FROM '/data/parquet/tpcds/web_site.parquet'; ===
=== ANALYZE tpcds.call_center ===
=== ANALYZE tpcds.catalog_page ===
=== ANALYZE tpcds.catalog_returns ===
=== ANALYZE tpcds.catalog_sales ===
=== ANALYZE tpcds.customer_address ===
=== ANALYZE tpcds.customer_demographics ===
=== ANALYZE tpcds.customer ===
=== ANALYZE tpcds.date_dim ===
=== ANALYZE tpcds.household_demographics ===
=== ANALYZE tpcds.income_band ===
=== ANALYZE tpcds.inventory ===
=== ANALYZE tpcds.item ===
=== ANALYZE tpcds.promotion ===
=== ANALYZE tpcds.reason ===
=== ANALYZE tpcds.ship_mode ===
=== ANALYZE tpcds.store_returns ===
=== ANALYZE tpcds.store_sales ===
=== ANALYZE tpcds.store ===
=== ANALYZE tpcds.time_dim ===
=== ANALYZE tpcds.warehouse ===
=== ANALYZE tpcds.web_page ===
=== ANALYZE tpcds.web_returns ===
=== ANALYZE tpcds.web_sales ===
=== ANALYZE tpcds.web_site ===
statistics on tpcds: 560s
loaded tpcds in 2365s, 58107711488 bytes
benchmarking CedarDB v2026-08-20 (reports PostgreSQL 16.3 compatible CedarDB v2026-08-20, compiled on 2026-08-20, x86_64 build)
=== tpch: not fully loaded; skipping its queries, load time and size ===
=== job: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: [1.8907, 0.0398, 0.0403, 0.0411, 0.0428, 0.0406]
q24 [tpcds]: [6.6939, 0.1594, 0.1580, 0.1568, 0.1616, 0.1619]
q25 [tpcds]: [16.7436, 0.0232, 0.0225, 0.0228, 0.0217, 0.0222]
q26 [tpcds]: [48.3215, 1.1298, 1.1379, 1.1298, 1.1350, 1.1308]
q27 [tpcds]: [37.5784, 0.2309, 0.2305, 0.2280, 0.2292, 0.2245]
q28 [tpcds]: [9.9717, 0.0372, 0.0391, 0.0388, 0.0369, 0.0365]
q29 [tpcds]: [27.0692, 0.0519, 0.0518, 0.0537, 0.0543, 0.0546]
q30 [tpcds]: [8.4821, 0.0367, 0.0378, 0.0369, 0.0375, 0.0383]
q31 [tpcds]: [12.3142, 0.1606, 0.1606, 0.1589, 0.1577, 0.1562]
q32 [tpcds]: [4.4573, 0.0636, 0.0634, 0.0617, 0.0619, 0.0614]
q33 [tpcds]: [18.1045, 0.6975, 0.6909, 0.6921, 0.6905, 0.6980]
q34 [tpcds]: [3.5331, 0.0166, 0.0171, 0.0181, 0.0174, 0.0177]
q35 [tpcds]: [34.7213, 0.0608, 0.0581, 0.0561, 0.0574, 0.0567]
q36 [tpcds]: [30.4890, 1.2231, 1.1898, 1.1880, 1.1551, 1.1554]
q37 [tpcds]: [30.3951, 1.1119, 1.1054, 1.0884, 1.0828, 1.0998]
q38 [tpcds]: [4.1325, 0.0349, 0.0337, 0.0324, 0.0322, 0.0325]
q39 [tpcds]: [9.7577, 0.0356, 0.0358, 0.0361, 0.0351, 0.0348]
q40 [tpcds]: [18.8342, 0.0720, 0.0696, 0.0684, 0.0661, 0.0703]
q41 [tpcds]: [14.2610, 0.0552, 0.0549, 0.0546, 0.0556, 0.0542]
q42 [tpcds]: [18.0056, 0.0283, 0.0274, 0.0269, 0.0275, 0.0266]
q43 [tpcds]: [6.7932, 0.0203, 0.0204, 0.0209, 0.0206, 0.0203]
q44 [tpcds]: [3.9692, 0.0677, 0.0628, 0.0644, 0.0618, 0.0636]
q45 [tpcds]: [4.0360, 0.4694, 0.4616, 0.4617, 0.4569, 0.4592]
q46 [tpcds]: [30.3456, 1.1030, 1.0897, 1.1140, 1.1068, 1.1045]
q47 [tpcds]: [30.4552, 1.1101, 1.1176, 1.1044, 1.1241, 1.1118]
q48 [tpcds]: [16.7877, 0.1189, 0.1157, 0.1144, 0.1147, 0.1146]
q49 [tpcds]: [18.1558, 0.1195, 0.1173, 0.1194, 0.1171, 0.1168]
q50 [tpcds]: [24.0199, 0.0584, 0.0563, 0.0570, 0.0572, 0.0561]
q51 [tpcds]: [11.0702, 0.0299, 0.0308, 0.0302, 0.0306, 0.0310]
q52 [tpcds]: [24.3823, 0.0515, 0.0494, 0.0509, 0.0510, 0.0512]
q53 [tpcds]: [14.7811, 0.1560, 0.1521, 0.1524, 0.1525, 0.1542]
q54 [tpcds]: [18.8250, 0.0772, 0.0741, 0.0733, 0.0719, 0.0724]
q55 [tpcds]: [0.7034, 0.0314, 0.0313, 0.0311, 0.0314, 0.0311]
q56 [tpcds]: [13.2734, 0.1154, 0.1167, 0.1130, 0.1135, 0.1130]
q57 [tpcds]: [7.2597, 0.0133, 0.0129, 0.0127, 0.0122, 0.0127]
q58 [tpcds]: [30.1964, 0.0515, 0.0510, 0.0501, 0.0519, 0.0505]
q59 [tpcds]: [3.8998, 0.0517, 0.0452, 0.0456, 0.0455, 0.0459]
q60 [tpcds]: [4.2327, 0.1389, 0.1359, 0.1343, 0.1346, 0.1343]
q61 [tpcds]: [23.1364, 0.0646, 0.0626, 0.0614, 0.0609, 0.0617]
q62 [tpcds]: [4.0523, 0.0150, 0.0153, 0.0155, 0.0148, 0.0156]
q63 [tpcds]: [4.4235, 0.4187, 0.4176, 0.4173, 0.4155, 0.4159]
q64 [tpcds]: [3.9682, 0.1298, 0.1173, 0.1130, 0.1181, 0.1146]
q65 [tpcds]: [3.9615, 0.1079, 0.1098, 0.1100, 0.1170, 0.1095]
q66 [tpcds]: [7.5788, 0.0213, 0.0208, 0.0212, 0.0206, 0.0208]
q67 [tpcds]: [0.1616, 0.0049, 0.0043, 0.0040, 0.0041, 0.0042]
q68 [tpcds]: [16.7065, 0.0260, 0.0250, 0.0254, 0.0241, 0.0251]
q69 [tpcds]: [8.0960, 0.0611, 0.0610, 0.0596, 0.0608, 0.0606]
q70 [tpcds]: [15.2654, 0.0249, 0.0237, 0.0230, 0.0234, 0.0237]
q71 [tpcds]: [3.0590, 0.0292, 0.0300, 0.0295, 0.0291, 0.0287]
q72 [tpcds]: [13.6919, 0.0660, 0.0695, 0.0709, 0.0699, 0.0704]
q73 [tpcds]: [14.9465, 0.4861, 0.4836, 0.4832, 0.4814, 0.4827]
q74 [tpcds]: [18.5623, 0.0622, 0.0618, 0.0600, 0.0592, 0.0608]
q75 [tpcds]: [68.1705, 0.0307, 0.0306, 0.0309, 0.0307, 0.0313]
q76 [tpcds]: [11.4278, 0.1588, 0.1560, 0.1565, 0.1574, 0.1590]
q77 [tpcds]: [18.6769, 1.1577, 1.1872, 1.1679, 1.1792, 1.1799]
q78 [tpcds]: [16.5620, 0.0289, 0.0269, 0.0271, 0.0279, 0.0283]
