0.2.9	https://github.com/duckdb/duckdb/releases/download/v0.2.9/duckdb_cli-linux-amd64.zip	2021-09-06
0.3.4	https://github.com/duckdb/duckdb/releases/download/v0.3.4/duckdb_cli-linux-amd64.zip	2022-04-25
0.4.0	https://github.com/duckdb/duckdb/releases/download/v0.4.0/duckdb_cli-linux-amd64.zip	2022-06-20
0.5.1	https://github.com/duckdb/duckdb/releases/download/v0.5.1/duckdb_cli-linux-amd64.zip	2022-09-19
0.6.1	https://github.com/duckdb/duckdb/releases/download/v0.6.1/duckdb_cli-linux-amd64.zip	2022-12-06
0.7.1	https://github.com/duckdb/duckdb/releases/download/v0.7.1/duckdb_cli-linux-amd64.zip	2023-02-27
0.8.1	https://github.com/duckdb/duckdb/releases/download/v0.8.1/duckdb_cli-linux-amd64.zip	2023-06-13
0.9.2	https://github.com/duckdb/duckdb/releases/download/v0.9.2/duckdb_cli-linux-amd64.zip	2023-11-14
0.10.3	https://github.com/duckdb/duckdb/releases/download/v0.10.3/duckdb_cli-linux-amd64.zip	2024-05-22
1.0.0	https://github.com/duckdb/duckdb/releases/download/v1.0.0/duckdb_cli-linux-amd64.zip	2024-06-03
1.1.3	https://github.com/duckdb/duckdb/releases/download/v1.1.3/duckdb_cli-linux-amd64.zip	2024-11-04
1.2.2	https://github.com/duckdb/duckdb/releases/download/v1.2.2/duckdb_cli-linux-amd64.zip	2025-04-08
1.3.2	https://github.com/duckdb/duckdb/releases/download/v1.3.2/duckdb_cli-linux-amd64.zip	2025-07-08
1.4.5	https://github.com/duckdb/duckdb/releases/download/v1.4.5/duckdb_cli-linux-amd64.zip	2026-06-17
1.5.4	https://github.com/duckdb/duckdb/releases/download/v1.5.4/duckdb_cli-linux-amd64.zip	2026-06-17
0.1.9	https://github.com/duckdb/duckdb/releases/download/v0.1.9/duckdb_cli-linux-amd64.zip	2020-06-19
0.1.0	source	2019-06-27
0.1.1	source	2019-09-24
0.1.2	source	2020-01-06
0.1.3	source	2020-02-03
0.1.4	source	2020-02-18
0.1.5	source	2020-03-02
0.1.6	source	2020-04-05
0.1.7	source	2020-05-04
0.1.8	source	2020-05-29
