53973	53973	2016-06-01	5
53974	53974	2016-06-03	5
53975	53975	2016-06-03	5
53976	53976	2016-06-06	5
53977	53977	2016-06-07	5
53978	53978	2016-06-07	5
53979	53979	2016-06-08	5
53980	53980	2016-06-09	5
53981	53981	2016-06-11	5
53982	53982	2016-06-21	5
53983	53983	2016-06-27	5
53984	53984	2016-06-27	5
53985	53985	2016-06-28	5
53986	53986	2016-06-28	5
53987	53987	2016-06-28	5
53988	53988	2016-06-28	5
53989	53989	2016-07-01	5
53990	53990	2016-07-01	5
53991	53991	2016-07-07	5
53992	53992	2016-07-14	5
53993	53993	2016-07-14	5
53994	53994	2016-07-14	5
53995	53995	2016-07-14	5
53996	53996	2016-07-14	5
53997	53997	2016-07-17	5
53998	53998	2016-07-21	5
53999	53999	2016-07-25	5
54000	54000	2016-07-27	5
54001	54001	2016-07-28	5
54002	54002	2016-08-02	5
54003	54003	2016-08-03	5
54004	54004	2016-08-03	5
54005	54005	2016-08-07	5
54006	54006	2016-08-10	5
54007	54007	2016-08-10	5
54008	54008	2016-08-13	5
54009	54009	2016-08-15	5
54010	54010	2016-08-15	5
54011	54011	2016-08-17	5
1.1.54165	v1.1.54165-stable	2017-02-14	5
1.1.54318	v1.1.54318-stable	2017-11-30	6
1.1.54335	v1.1.54335-stable	2018-01-16	7
1.1.54336	v1.1.54336-stable	2018-01-16	7
1.1.54358	v1.1.54358-stable	2018-03-07	7
1.1.54362	v1.1.54362-stable	2018-03-10	7
1.1.54370	v1.1.54370-stable	2018-03-16	7
