2016-05-01	2b1550105cec9ff8192606560931191d69101397	2016-04-28	53452
2016-04-01	f41bba57a546430ed2c3d3c5e97a599003a6889d	2016-04-01	53365
2016-03-01	5360c78806e043d0d2bf3de15a363f87fbdaf5f4	2016-03-01	53265
2016-02-01	21fb1cca7c1342f02cda0b8df08df08a737eb7ee	2016-01-30	53166
2016-01-01	a6b01ee987c44a8291c616ffdedb63677ef0780a	2015-12-30	53066
2015-12-01	a7387d9ce431a1f288d1a4898fa0c0c36c765abc	2015-11-30	52969
2015-11-01	b17cc7181edbb05637b23f2f632d44d092e276e5	2015-10-31	52872
2015-10-01	c915538fa788697feea7910c7de5339f6b5a2ce2	2015-09-30	52773
2015-09-01	bc5007fc36ba2a81a6b45b9e9b0b26ff09efa994	2015-08-31	52676
2015-08-01	3eb7c149aba7bc650e27cc40885cf29e3332c94b	2015-07-31	52576
2015-07-01	719f0ee89cc560a96bec8d527ff7316f13101b33	2015-06-30	52476
2015-06-01	d378c76964b58eae67fbe41fa9d54694b5e88f99	2015-05-31	52380
2015-05-01	9dfd271c684c7f7792751a9ea7c72c11604afda5	2015-05-01	52283
2015-04-01	54397c6c7a99cfa7cb293651356c8b65143669e1	2015-04-01	52186
2015-03-01	3e1dafe3cb96b69fc34df13cd10bdc79adfe2818	2015-02-28	52083
2015-02-01	bd51359819f6ade46cf5de2e22e1fafc1d2080fc	2015-02-01	51996
2015-01-01	43c75bb37b3b2f27d473296cc12d7e6314520505	2014-12-31	51888
2014-12-01	da4c4a05663581f9729ad1bd000481fbcd1a0353	2014-11-30	51733
2014-11-01	ec08b393dec6f513f13bcc8654055dea7069dc8b	2014-11-01	51589
2014-10-01	4b83a8d3b3af54e7a816330398dfc1b3a37d686b	2014-10-01	51408
2014-09-01	b5624cd57fdcc354dc31348da0cb1a332fb24345	2014-08-29	51207
2014-08-01	36b0355c6861d695836e45cec56d7bea7dc444ae	2014-08-01	51037
2014-07-01	cbab5fb19339775223d43f5c69060096aa03f830	2014-07-01	50848
2014-06-01	a4fba5c6b19ceddf0340184c9f224b4c08fb80fe	2014-05-30	50653
2014-05-01	4cee45e004f118bd8cf43f08a6b634021b106825	2014-04-30	50471
2014-04-01	c12d5231dd48ad2e82d4e5bfa62987b32dae8a51	2014-03-29	50276
2014-03-01	78e9b847e08b1ad50db5443dd896ad5e7100e01b	2014-03-01	43454
2014-02-01	82b98ffb6d88b4a30257f623e628ecbe48925436	2014-01-29	38671
2014-01-01	5d7fb8ecce5987e108afba878e77d5364a93d960	2013-12-30	37961
2013-12-01	ff7cd145ca21b225b9734e5c08e9984475fb6d68	2013-11-30	37252
2013-11-01	6a12f5a43a902f1b843922261a6acbed88e25881	2013-10-31	36542
2013-10-01	c084250925a3fd2e30241f8ee7fb12a40ecc3002	2013-09-30	35809
2013-09-01	81d9d1deaadc29badf8122b1bd24e7aef9f2192f	2013-08-31	35069
2013-08-01	0e96233d2b3c643e37fcc6302f090da4a442d3d6	2013-07-31	34180
2013-07-01	858b2805eb0eaea7efdf4c2409d0ccce9ec3ae1e	2013-06-30	33243
2013-06-01	9848a42c8241cbd2fb85ffc5fc217f773a63f59d	2013-05-31	32313
2013-05-01	da4454b46e583da4fa91f973b84cdb79cba2d90e	2013-04-30	31335
2013-04-01	1f375250d6ca9bf2bcf5c1afbf6c08165e6dd7ce	2013-03-31	30388
2013-03-01	ea816297c2ae16b50a20ebd684471a535b59e6b0	2013-02-28	29410
2013-02-01	b5937d0539a16754313c06d54b690d31d3f56561	2013-01-28	27270
2013-01-01	7b17b8f342adf339210d865f783bae4d1d5f6671	2012-12-29	25199
2012-12-01	914b41cf2f9bdcd79054d4466f1595a962f97053	2012-11-30	23197
2012-11-01	02b95a22975bf0d20cee6e6628d3e74aeac41e8d	2012-10-30	21056
2012-10-01	f86d5d4d7e7e781e86d176e59fb0d669dec2e1fc	2012-09-28	18847
2012-09-01	0652f9da9685041732d44d120da286a1a58c8ae4	2012-08-31	16914
2012-08-01	83337ec47416dc3166871561a54e3d52c57f1c52	2012-07-31	14774
2012-07-01	2c69e7eb4aaf8c82583520976e51cf6cbc7e467e	2012-06-25	12289
2012-06-01	0b5d5b6a52ab4dd30f2ca6106bb7efdd904f9ddd	2012-05-31	10563
2012-05-01	8b958c4f698830cbf22c038c9fb44616a331ed44	2012-04-14	7318
2012-04-01	26096423fe53dccc5559952515fe421563cd23af	2012-03-30	6282
2012-03-01	c90243f7fe778ce4524341e5daad2a936bb8564f	2012-02-27	4073
2012-02-01	635f1638e2c6d5d70b3f95042398abdd2798648c	2012-01-31	2209
2012-01-01	7182920cecd3ec7d1e6fffd64ec52679d4e111ef	2011-12-30	0
