page cache dropped before each query (6 tries: 1 cold + 5 hot)
starting Firebolt 4.31.13 (ghcr.io/firebolt-db/firebolt-core:4.31.13-0.20260424104720.5698ca5339fc)
Firebolt up (4.31.13-0.20260424104720.5698ca5339fc)
STATISTICS=1: per-column ALTER ... ADD STATISTICS after each load (see stats/)
=== CREATE tpcds tables ===
=== LOAD tpcds ===
=== ADD STATISTICS tpcds (425 statements) ===
statistics on tpcds: 401s
loaded tpcds in 1601s
benchmarking Firebolt 4.31.13 (reports 4.31.13-0.20260424104720.5698ca5339fc)
=== tpch: not fully loaded; skipping its queries, load time and size ===
=== job: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: [6.945, 0.329, 0.328, 0.336, 0.323, 0.314]
q24 [tpcds]: [16.005, 2.143, 2.165, 2.133, 2.112, 2.108]
q25 [tpcds]: [16.380, 0.117, 0.117, 0.130, 0.144, 0.131]
q26 [tpcds]: [104.358, 7.382, 7.383, 7.393, 7.473, 7.375]
q27 [tpcds]: [91.560, 4.910, 4.693, 4.655, 4.899, 6.178]
q28 [tpcds]: [21.864, 0.485, 0.470, 0.470, 0.479, 0.486]
q29 [tpcds]: [56.406, 0.765, 0.747, 0.757, 0.736, 0.744]
q30 [tpcds]: FAILED: INTERSECT is not yet supported
q30 [tpcds]: [null, null, null, null, null, null]
q31 [tpcds]: [21.021, 1.059, 1.079, 1.097, 1.079, 1.077]
q32 [tpcds]: [38.362, 0.690, 0.681, 0.669, 0.675, 0.669]
q33 [tpcds]: [47.071, 4.582, 4.515, 4.537, 4.525, 4.535]
q34 [tpcds]: [6.815, 0.249, 0.237, 0.245, 0.243, 0.243]
q35 [tpcds]: [93.618, 1.360, 1.307, 1.316, 1.341, 1.326]
q36 [tpcds]: FAILED: INTERSECT is not yet supported
q36 [tpcds]: [null, null, null, null, null, null]
q37 [tpcds]: FAILED: INTERSECT is not yet supported
q37 [tpcds]: [null, null, null, null, null, null]
q38 [tpcds]: [15.442, 0.254, 0.250, 0.236, 0.241, 0.237]
q39 [tpcds]: [36.588, 0.713, 0.714, 0.732, 0.718, 0.721]
q40 [tpcds]: FAILED: Line 1, Column 135: Function signature 'stddev_samp(bigint)' not yet supported. Supported signatures are stddev_samp([real|double precision])
q40 [tpcds]: [null, null, null, null, null, null]
q41 [tpcds]: [37.604, 0.865, 0.873, 0.872, 0.862, 0.855]
q42 [tpcds]: [41.186, 0.616, 0.614, 0.600, 0.602, 0.602]
